id,film,zustand,tomatometer
4,F13,betrunken,78
4,F14,betrunken,84
4,F15,betrunken,58
5,F1,nuechtern,37
5,F2,nuechtern,26
5,F3,nuechtern,3
5,F4,nuechtern,24
5,F5,nuechtern,29
5,F6,nuechtern,38
5,F7,nuechtern,37
5,F8,nuechtern,57
5,F9,nuechtern,31
5,F10,nuechtern,33
5,F11,nuechtern,24
5,F12,nuechtern,23
5,F13,nuechtern,30
5,F14,nuechtern,37
5,F15,nuechtern,16
5,F1,betrunken,53
5,F2,betrunken,46
5,F3,betrunken,54
5,F4,betrunken,48
5,F5,betrunken,64
5,F6,betrunken,58
5,F7,betrunken,55
5,F8,betrunken,58
5,F9,betrunken,65
5,F10,betrunken,61
5,F11,betrunken,54
5,F12,betrunken,56
5,F13,betrunken,66
5,F14,betrunken,58
5,F15,betrunken,53
6,F1,nuechtern,16
6,F2,nuechtern,26
6,F3,nuechtern,25
6,F4,nuechtern,19
6,F5,nuechtern,40
6,F6,nuechtern,22
6,F7,nuechtern,11
6,F8,nuechtern,35
6,F9,nuechtern,30
6,F10,nuechtern,31
6,F11,nuechtern,14
6,F12,nuechtern,9
6,F13,nuechtern,25
6,F14,nuechtern,13
6,F15,nuechtern,30
6,F1,betrunken,38
6,F2,betrunken,33
6,F3,betrunken,28
6,F4,betrunken,29
6,F5,betrunken,50
6,F6,betrunken,42
6,F7,betrunken,47
6,F8,betrunken,50
6,F9,betrunken,44
6,F10,betrunken,33
6,F11,betrunken,34
6,F12,betrunken,52
6,F13,betrunken,41
6,F14,betrunken,40
6,F15,betrunken,28
7,F1,nuechtern,33
7,F2,nuechtern,18
7,F3,nuechtern,25
7,F4,nuechtern,26
7,F5,nuechtern,29
7,F6,nuechtern,33
7,F7,nuechtern,36
7,F8,nuechtern,39
7,F9,nuechtern,28
7,F10,nuechtern,31
7,F11,nuechtern,19
7,F12,nuechtern,25
7,F13,nuechtern,26
7,F14,nuechtern,23
7,F15,nuechtern,26
7,F1,betrunken,52
7,F2,betrunken,31
7,F3,betrunken,25
7,F4,betrunken,40
7,F5,betrunken,40
7,F6,betrunken,44
7,F7,betrunken,53
7,F8,betrunken,46
7,F9,betrunken,36
7,F10,betrunken,52
7,F11,betrunken,28
7,F12,betrunken,48
7,F13,betrunken,60
7,F14,betrunken,46
7,F15,betrunken,32
8,F1,nuechtern,30
8,F2,nuechtern,25
8,F3,nuechtern,22
8,F4,nuechtern,26
8,F5,nuechtern,35
8,F6,nuechtern,45
8,F7,nuechtern,33
8,F8,nuechtern,48
8,F9,nuechtern,36
8,F10,nuechtern,29
8,F11,nuechtern,28
8,F12,nuechtern,28
8,F13,nuechtern,12
8,F14,nuechtern,40
8,F15,nuechtern,30
8,F1,betrunken,60
8,F2,betrunken,64
8,F3,betrunken,44
8,F4,betrunken,53
8,F5,betrunken,51
8,F6,betrunken,67
8,F7,betrunken,59
8,F8,betrunken,76
8,F9,betrunken,64
8,F10,betrunken,73
8,F11,betrunken,53
8,F12,betrunken,62
8,F13,betrunken,67
8,F14,betrunken,77
8,F15,betrunken,69
9,F1,nuechtern,34
9,F2,nuechtern,19
9,F3,nuechtern,0
9,F4,nuechtern,25
9,F5,nuechtern,21
9,F6,nuechtern,33
9,F7,nuechtern,14
9,F8,nuechtern,35
9,F9,nuechtern,20
9,F10,nuechtern,12
9,F11,nuechtern,28
9,F12,nuechtern,21
9,F13,nuechtern,20
9,F14,nuechtern,25
9,F15,nuechtern,28
9,F1,betrunken,71
9,F2,betrunken,53
9,F3,betrunken,47
9,F4,betrunken,56
9,F5,betrunken,70
9,F6,betrunken,62
9,F7,betrunken,65
9,F8,betrunken,78
9,F9,betrunken,52
9,F10,betrunken,61
9,F11,betrunken,70
9,F12,betrunken,60
9,F13,betrunken,70
9,F14,betrunken,73
9,F15,betrunken,64
10,F1,nuechtern,51
10,F2,nuechtern,20
10,F3,nuechtern,29
10,F4,nuechtern,36
10,F5,nuechtern,43
10,F6,nuechtern,37
10,F7,nuechtern,35
10,F8,nuechtern,48
10,F9,nuechtern,43
10,F10,nuechtern,22
10,F11,nuechtern,40
10,F12,nuechtern,31
10,F13,nuechtern,35
10,F14,nuechtern,42
10,F15,nuechtern,31
10,F1,betrunken,54
10,F2,betrunken,50
10,F3,betrunken,46
10,F4,betrunken,51
10,F5,betrunken,55
10,F6,betrunken,59
10,F7,betrunken,53
10,F8,betrunken,59
10,F9,betrunken,68
10,F10,betrunken,50
10,F11,betrunken,53
10,F12,betrunken,68
10,F13,betrunken,57
10,F14,betrunken,56
10,F15,betrunken,46
11,F1,nuechtern,53
11,F2,nuechtern,27
11,F3,nuechtern,10
11,F4,nuechtern,21
11,F5,nuechtern,36
11,F6,nuechtern,28
11,F7,nuechtern,37
11,F8,nuechtern,47
11,F9,nuechtern,25
11,F10,nuechtern,30
11,F11,nuechtern,23
11,F12,nuechtern,19
11,F13,nuechtern,24
11,F14,nuechtern,37
11,F15,nuechtern,39
11,F1,betrunken,60
11,F2,betrunken,52
11,F3,betrunken,38
11,F4,betrunken,53
11,F5,betrunken,80
11,F6,betrunken,43
11,F7,betrunken,62
11,F8,betrunken,70
11,F9,betrunken,77
11,F10,betrunken,60
11,F11,betrunken,52
11,F12,betrunken,59
11,F13,betrunken,70
11,F14,betrunken,65
11,F15,betrunken,51
12,F1,nuechtern,34
12,F2,nuechtern,27
12,F3,nuechtern,20
12,F4,nuechtern,37
12,F5,nuechtern,30
12,F6,nuechtern,31
12,F7,nuechtern,26
12,F8,nuechtern,38
12,F9,nuechtern,26
12,F10,nuechtern,30
12,F11,nuechtern,30
12,F12,nuechtern,25
12,F13,nuechtern,28
12,F14,nuechtern,36
12,F15,nuechtern,24
12,F1,betrunken,72
12,F2,betrunken,63
12,F3,betrunken,47
12,F4,betrunken,72
12,F5,betrunken,86
12,F6,betrunken,71
12,F7,betrunken,65
12,F8,betrunken,87
12,F9,betrunken,76
12,F10,betrunken,75
12,F11,betrunken,82
12,F12,betrunken,82
12,F13,betrunken,85
12,F14,betrunken,71
12,F15,betrunken,81
13,F1,nuechtern,21
13,F2,nuechtern,6
13,F3,nuechtern,8
13,F4,nuechtern,25
13,F5,nuechtern,31
13,F6,nuechtern,42
13,F7,nuechtern,25
13,F8,nuechtern,15
13,F9,nuechtern,21
13,F10,nuechtern,37
13,F11,nuechtern,2
13,F12,nuechtern,15
13,F13,nuechtern,21
13,F14,nuechtern,18
13,F15,nuechtern,22
13,F1,betrunken,46
13,F2,betrunken,29
13,F3,betrunken,29
13,F4,betrunken,26
13,F5,betrunken,50
13,F6,betrunken,38
13,F7,betrunken,42
13,F8,betrunken,49
13,F9,betrunken,50
13,F10,betrunken,35
13,F11,betrunken,45
13,F12,betrunken,35
13,F13,betrunken,60
13,F14,betrunken,36
13,F15,betrunken,31
14,F1,nuechtern,37
14,F2,nuechtern,36
14,F3,nuechtern,29
14,F4,nuechtern,43
14,F5,nuechtern,34
14,F6,nuechtern,26
14,F7,nuechtern,28
14,F8,nuechtern,45
14,F9,nuechtern,41
14,F10,nuechtern,43
14,F11,nuechtern,31
14,F12,nuechtern,41
14,F13,nuechtern,33
14,F14,nuechtern,48
14,F15,nuechtern,48
14,F1,betrunken,62
14,F2,betrunken,50
14,F3,betrunken,41
14,F4,betrunken,52
14,F5,betrunken,65
14,F6,betrunken,61
14,F7,betrunken,64
14,F8,betrunken,78
14,F9,betrunken,64
14,F10,betrunken,63
14,F11,betrunken,60
14,F12,betrunken,68
14,F13,betrunken,61
14,F14,betrunken,78
14,F15,betrunken,54
15,F1,nuechtern,26
15,F2,nuechtern,28
15,F3,nuechtern,7
15,F4,nuechtern,11
15,F5,nuechtern,23
15,F6,nuechtern,38
15,F7,nuechtern,22
15,F8,nuechtern,41
15,F9,nuechtern,22
15,F10,nuechtern,33
15,F11,nuechtern,21
15,F12,nuechtern,26
15,F13,nuechtern,39
15,F14,nuechtern,28
15,F15,nuechtern,13
15,F1,betrunken,50
15,F2,betrunken,35
15,F3,betrunken,33
15,F4,betrunken,51
15,F5,betrunken,62
15,F6,betrunken,52
15,F7,betrunken,47
15,F8,betrunken,63
15,F9,betrunken,52
15,F10,betrunken,37
15,F11,betrunken,43
15,F12,betrunken,38
15,F13,betrunken,28
15,F14,betrunken,43
15,F15,betrunken,44
16,F1,nuechtern,29
16,F2,nuechtern,20
16,F3,nuechtern,7
16,F4,nuechtern,12
16,F5,nuechtern,47
16,F6,nuechtern,29
16,F7,nuechtern,35
16,F8,nuechtern,47
16,F9,nuechtern,25
16,F10,nuechtern,31
16,F11,nuechtern,25
16,F12,nuechtern,20
16,F13,nuechtern,12
16,F14,nuechtern,18
16,F15,nuechtern,25
16,F1,betrunken,54
16,F2,betrunken,45
16,F3,betrunken,35
16,F4,betrunken,39
16,F5,betrunken,49
16,F6,betrunken,38
16,F7,betrunken,45
16,F8,betrunken,69
16,F9,betrunken,47
16,F10,betrunken,32
16,F11,betrunken,52
16,F12,betrunken,55
16,F13,betrunken,40
16,F14,betrunken,50
16,F15,betrunken,41
17,F1,nuechtern,32
17,F2,nuechtern,38
17,F3,nuechtern,12
17,F4,nuechtern,49
17,F5,nuechtern,30
17,F6,nuechtern,42
17,F7,nuechtern,33
17,F8,nuechtern,27
17,F9,nuechtern,28
17,F10,nuechtern,27
17,F11,nuechtern,19
17,F12,nuechtern,34
17,F13,nuechtern,16
17,F14,nuechtern,52
17,F15,nuechtern,32
17,F1,betrunken,57
17,F2,betrunken,57
17,F3,betrunken,42
17,F4,betrunken,55
17,F5,betrunken,73
17,F6,betrunken,54
17,F7,betrunken,66
17,F8,betrunken,56
17,F9,betrunken,67
17,F10,betrunken,47
17,F11,betrunken,54
17,F12,betrunken,51
17,F13,betrunken,69
17,F14,betrunken,60
17,F15,betrunken,49
18,F1,nuechtern,40
18,F2,nuechtern,32
18,F3,nuechtern,22
18,F4,nuechtern,20
18,F5,nuechtern,49
18,F6,nuechtern,48
18,F7,nuechtern,37
18,F8,nuechtern,33
18,F9,nuechtern,48
18,F10,nuechtern,27
18,F11,nuechtern,19
18,F12,nuechtern,36
18,F13,nuechtern,22
18,F14,nuechtern,40
18,F15,nuechtern,18
18,F1,betrunken,78
18,F2,betrunken,64
18,F3,betrunken,50
18,F4,betrunken,56
18,F5,betrunken,79
18,F6,betrunken,79
18,F7,betrunken,44
18,F8,betrunken,70
18,F9,betrunken,76
18,F10,betrunken,56
18,F11,betrunken,74
18,F12,betrunken,72
18,F13,betrunken,72
18,F14,betrunken,68
18,F15,betrunken,67
19,F1,nuechtern,30
19,F2,nuechtern,6
19,F3,nuechtern,17
19,F4,nuechtern,27
19,F5,nuechtern,35
19,F6,nuechtern,22
19,F7,nuechtern,26
19,F8,nuechtern,26
19,F9,nuechtern,19
19,F10,nuechtern,26
19,F11,nuechtern,15
19,F12,nuechtern,13
19,F13,nuechtern,29
19,F14,nuechtern,24
19,F15,nuechtern,19
19,F1,betrunken,57
19,F2,betrunken,35
19,F3,betrunken,23
19,F4,betrunken,33
19,F5,betrunken,48
19,F6,betrunken,35
19,F7,betrunken,48
19,F8,betrunken,62
19,F9,betrunken,45
19,F10,betrunken,48
19,F11,betrunken,33
19,F12,betrunken,43
19,F13,betrunken,54
19,F14,betrunken,41
19,F15,betrunken,35
20,F1,nuechtern,38
20,F2,nuechtern,29
20,F3,nuechtern,18
20,F4,nuechtern,19
20,F5,nuechtern,26
20,F6,nuechtern,40
20,F7,nuechtern,36
20,F8,nuechtern,25
20,F9,nuechtern,34
20,F10,nuechtern,27
20,F11,nuechtern,23
20,F12,nuechtern,21
20,F13,nuechtern,6
20,F14,nuechtern,22
20,F15,nuechtern,19
20,F1,betrunken,48
20,F2,betrunken,34
20,F3,betrunken,30
20,F4,betrunken,35
20,F5,betrunken,54
20,F6,betrunken,49
20,F7,betrunken,33
20,F8,betrunken,54
20,F9,betrunken,42
20,F10,betrunken,38
20,F11,betrunken,47
20,F12,betrunken,51
20,F13,betrunken,37
20,F14,betrunken,57
20,F15,betrunken,27
21,F1,nuechtern,38
21,F2,nuechtern,24
21,F3,nuechtern,11
21,F4,nuechtern,32
21,F5,nuechtern,35
21,F6,nuechtern,39
21,F7,nuechtern,41
21,F8,nuechtern,36
21,F9,nuechtern,42
21,F10,nuechtern,28
21,F11,nuechtern,41
21,F12,nuechtern,18
21,F13,nuechtern,24
21,F14,nuechtern,37
21,F15,nuechtern,31
21,F1,betrunken,73
21,F2,betrunken,60
21,F3,betrunken,47
21,F4,betrunken,59
21,F5,betrunken,71
21,F6,betrunken,49
21,F7,betrunken,45
21,F8,betrunken,65
21,F9,betrunken,62
21,F10,betrunken,68
21,F11,betrunken,48
21,F12,betrunken,62
21,F13,betrunken,68
21,F14,betrunken,60
21,F15,betrunken,43
22,F1,nuechtern,44
22,F2,nuechtern,32
22,F3,nuechtern,34
22,F4,nuechtern,26
22,F5,nuechtern,32
22,F6,nuechtern,39
22,F7,nuechtern,46
22,F8,nuechtern,58
22,F9,nuechtern,23
22,F10,nuechtern,36
22,F11,nuechtern,23
22,F12,nuechtern,23
22,F13,nuechtern,26
22,F14,nuechtern,45
22,F15,nuechtern,46
22,F1,betrunken,69
22,F2,betrunken,54
22,F3,betrunken,35
22,F4,betrunken,41
22,F5,betrunken,64
22,F6,betrunken,60
22,F7,betrunken,58
22,F8,betrunken,68
22,F9,betrunken,62
22,F10,betrunken,53
22,F11,betrunken,47
22,F12,betrunken,56
22,F13,betrunken,74
22,F14,betrunken,64
22,F15,betrunken,51
23,F1,nuechtern,39
23,F2,nuechtern,18
23,F3,nuechtern,25
23,F4,nuechtern,35
23,F5,nuechtern,29
23,F6,nuechtern,36
23,F7,nuechtern,40
23,F8,nuechtern,34
23,F9,nuechtern,37
23,F10,nuechtern,40
23,F11,nuechtern,38
23,F12,nuechtern,34
23,F13,nuechtern,27
23,F14,nuechtern,42
23,F15,nuechtern,23
23,F1,betrunken,54
23,F2,betrunken,50
23,F3,betrunken,39
23,F4,betrunken,50
23,F5,betrunken,64
23,F6,betrunken,60
23,F7,betrunken,55
23,F8,betrunken,69
23,F9,betrunken,72
23,F10,betrunken,59
23,F11,betrunken,61
23,F12,betrunken,61
23,F13,betrunken,57
23,F14,betrunken,71
23,F15,betrunken,52
24,F1,nuechtern,32
24,F2,nuechtern,29
24,F3,nuechtern,20
24,F4,nuechtern,36
24,F5,nuechtern,38
24,F6,nuechtern,21
24,F7,nuechtern,30
24,F8,nuechtern,48
24,F9,nuechtern,30
24,F10,nuechtern,42
24,F11,nuechtern,24
24,F12,nuechtern,28
24,F13,nuechtern,31
24,F14,nuechtern,25
24,F15,nuechtern,26
24,F1,betrunken,51
24,F2,betrunken,39
24,F3,betrunken,28
24,F4,betrunken,33
24,F5,betrunken,44
24,F6,betrunken,54
24,F7,betrunken,37
24,F8,betrunken,49
24,F9,betrunken,48
24,F10,betrunken,36
24,F11,betrunken,39
24,F12,betrunken,39
24,F13,betrunken,47
24,F14,betrunken,49
24,F15,betrunken,45
25,F1,nuechtern,28
25,F2,nuechtern,31
25,F3,nuechtern,28
25,F4,nuechtern,37
25,F5,nuechtern,38
25,F6,nuechtern,37
25,F7,nuechtern,30
25,F8,nuechtern,38
25,F9,nuechtern,47
25,F10,nuechtern,32
25,F11,nuechtern,33
25,F12,nuechtern,38
25,F13,nuechtern,20
25,F14,nuechtern,27
25,F15,nuechtern,31
25,F1,betrunken,53
25,F2,betrunken,46
25,F3,betrunken,28
25,F4,betrunken,47
25,F5,betrunken,59
25,F6,betrunken,55
25,F7,betrunken,46
25,F8,betrunken,66
25,F9,betrunken,58
25,F10,betrunken,57
25,F11,betrunken,53
25,F12,betrunken,44
25,F13,betrunken,66
25,F14,betrunken,65
25,F15,betrunken,43
26,F1,nuechtern,38
26,F2,nuechtern,29
26,F3,nuechtern,22
26,F4,nuechtern,19
26,F5,nuechtern,28
26,F6,nuechtern,31
26,F7,nuechtern,46
26,F8,nuechtern,41
26,F9,nuechtern,28
26,F10,nuechtern,27
26,F11,nuechtern,19
26,F12,nuechtern,34
26,F13,nuechtern,16
26,F14,nuechtern,29
26,F15,nuechtern,36
26,F1,betrunken,59
26,F2,betrunken,39
26,F3,betrunken,54
26,F4,betrunken,60
26,F5,betrunken,66
26,F6,betrunken,59
26,F7,betrunken,61
26,F8,betrunken,79
26,F9,betrunken,58
26,F10,betrunken,62
26,F11,betrunken,56
26,F12,betrunken,67
26,F13,betrunken,79
26,F14,betrunken,62
26,F15,betrunken,63
27,F1,nuechtern,34
27,F2,nuechtern,22
27,F3,nuechtern,12
27,F4,nuechtern,20
27,F5,nuechtern,37
27,F6,nuechtern,15
27,F7,nuechtern,18
27,F8,nuechtern,32
27,F9,nuechtern,39
27,F10,nuechtern,37
27,F11,nuechtern,22
27,F12,nuechtern,30
27,F13,nuechtern,19
27,F14,nuechtern,24
27,F15,nuechtern,23
27,F1,betrunken,53
27,F2,betrunken,49
27,F3,betrunken,31
27,F4,betrunken,36
27,F5,betrunken,64
27,F6,betrunken,43
27,F7,betrunken,56
27,F8,betrunken,53
27,F9,betrunken,46
27,F10,betrunken,53
27,F11,betrunken,56
27,F12,betrunken,51
27,F13,betrunken,52
27,F14,betrunken,54
27,F15,betrunken,46
28,F1,nuechtern,50
28,F2,nuechtern,33
28,F3,nuechtern,45
28,F4,nuechtern,37
28,F5,nuechtern,35
28,F6,nuechtern,55
28,F7,nuechtern,48
28,F8,nuechtern,52
28,F9,nuechtern,44
28,F10,nuechtern,24
28,F11,nuechtern,36
28,F12,nuechtern,26
28,F13,nuechtern,29
28,F14,nuechtern,39
28,F15,nuechtern,55
28,F1,betrunken,66
28,F2,betrunken,48
28,F3,betrunken,51
28,F4,betrunken,64
28,F5,betrunken,55
28,F6,betrunken,54
28,F7,betrunken,53
28,F8,betrunken,65
28,F9,betrunken,73
28,F10,betrunken,54
28,F11,betrunken,53
28,F12,betrunken,68
28,F13,betrunken,65
28,F14,betrunken,68
28,F15,betrunken,52
29,F1,nuechtern,21
29,F2,nuechtern,16
29,F3,nuechtern,23
29,F4,nuechtern,24
29,F5,nuechtern,37
29,F6,nuechtern,35
29,F7,nuechtern,42
29,F8,nuechtern,33
29,F9,nuechtern,31
29,F10,nuechtern,37
29,F11,nuechtern,19
29,F12,nuechtern,21
29,F13,nuechtern,9
29,F14,nuechtern,21
29,F15,nuechtern,20
29,F1,betrunken,49
29,F2,betrunken,40
29,F3,betrunken,35
29,F4,betrunken,38
29,F5,betrunken,62
29,F6,betrunken,45
29,F7,betrunken,37
29,F8,betrunken,52
29,F9,betrunken,44
29,F10,betrunken,40
29,F11,betrunken,41
29,F12,betrunken,54
29,F13,betrunken,55
29,F14,betrunken,56
29,F15,betrunken,41
30,F1,nuechtern,45
30,F2,nuechtern,27
30,F3,nuechtern,28
30,F4,nuechtern,32
30,F5,nuechtern,46
30,F6,nuechtern,47
30,F7,nuechtern,31
30,F8,nuechtern,52
30,F9,nuechtern,40
30,F10,nuechtern,47
30,F11,nuechtern,42
30,F12,nuechtern,30
30,F13,nuechtern,35
30,F14,nuechtern,39
30,F15,nuechtern,22
30,F1,betrunken,46
30,F2,betrunken,43
30,F3,betrunken,45
30,F4,betrunken,48
30,F5,betrunken,64
30,F6,betrunken,57
30,F7,betrunken,41
30,F8,betrunken,62
30,F9,betrunken,58
30,F10,betrunken,45
30,F11,betrunken,46
30,F12,betrunken,52
30,F13,betrunken,54
30,F14,betrunken,62
30,F15,betrunken,49
31,F1,nuechtern,28
31,F2,nuechtern,30
31,F3,nuechtern,8
31,F4,nuechtern,16
31,F5,nuechtern,35
31,F6,nuechtern,24
31,F7,nuechtern,22
31,F8,nuechtern,38
31,F9,nuechtern,26
31,F10,nuechtern,18
31,F11,nuechtern,26
31,F12,nuechtern,8
31,F13,nuechtern,13
31,F14,nuechtern,21
31,F15,nuechtern,13
31,F1,betrunken,47
31,F2,betrunken,43
31,F3,betrunken,30
31,F4,betrunken,43
31,F5,betrunken,51
31,F6,betrunken,66
31,F7,betrunken,48
31,F8,betrunken,70
31,F9,betrunken,49
31,F10,betrunken,54
31,F11,betrunken,38
31,F12,betrunken,61
31,F13,betrunken,70
31,F14,betrunken,59
31,F15,betrunken,39
32,F1,nuechtern,18
32,F2,nuechtern,20
32,F3,nuechtern,17
32,F4,nuechtern,33
32,F5,nuechtern,28
32,F6,nuechtern,29
32,F7,nuechtern,27
32,F8,nuechtern,26
32,F9,nuechtern,35
32,F10,nuechtern,19
32,F11,nuechtern,26
32,F12,nuechtern,19
32,F13,nuechtern,23
32,F14,nuechtern,39
32,F15,nuechtern,31
32,F1,betrunken,40
32,F2,betrunken,28
32,F3,betrunken,32
32,F4,betrunken,45
32,F5,betrunken,56
32,F6,betrunken,37
32,F7,betrunken,56
32,F8,betrunken,48
32,F9,betrunken,62
32,F10,betrunken,37
32,F11,betrunken,49
32,F12,betrunken,46
32,F13,betrunken,54
32,F14,betrunken,60
32,F15,betrunken,40
33,F1,nuechtern,50
33,F2,nuechtern,23
33,F3,nuechtern,19
33,F4,nuechtern,36
33,F5,nuechtern,40
33,F6,nuechtern,44
33,F7,nuechtern,31
33,F8,nuechtern,37
33,F9,nuechtern,31
33,F10,nuechtern,42
33,F11,nuechtern,47
33,F12,nuechtern,36
33,F13,nuechtern,22
33,F14,nuechtern,42
33,F15,nuechtern,21
33,F1,betrunken,48
33,F2,betrunken,45
33,F3,betrunken,43
33,F4,betrunken,46
33,F5,betrunken,59
33,F6,betrunken,45
33,F7,betrunken,54
33,F8,betrunken,57
33,F9,betrunken,51
33,F10,betrunken,54
33,F11,betrunken,45
33,F12,betrunken,57
33,F13,betrunken,72
33,F14,betrunken,65
33,F15,betrunken,47
34,F1,nuechtern,26
34,F2,nuechtern,25
34,F3,nuechtern,13
34,F4,nuechtern,20
34,F5,nuechtern,18
34,F6,nuechtern,38
34,F7,nuechtern,19
34,F8,nuechtern,37
34,F9,nuechtern,31
34,F10,nuechtern,27
34,F11,nuechtern,16
34,F12,nuechtern,12
34,F13,nuechtern,21
34,F14,nuechtern,37
34,F15,nuechtern,28
34,F1,betrunken,52
34,F2,betrunken,39
34,F3,betrunken,44
34,F4,betrunken,50
34,F5,betrunken,46
34,F6,betrunken,66
34,F7,betrunken,61
34,F8,betrunken,73
34,F9,betrunken,65
34,F10,betrunken,63
34,F11,betrunken,60
34,F12,betrunken,67
34,F13,betrunken,71
34,F14,betrunken,70
34,F15,betrunken,52
35,F1,nuechtern,39
35,F2,nuechtern,34
35,F3,nuechtern,14
35,F4,nuechtern,30
35,F5,nuechtern,31
35,F6,nuechtern,22
35,F7,nuechtern,17
35,F8,nuechtern,32
35,F9,nuechtern,40
35,F10,nuechtern,27
35,F11,nuechtern,15
35,F12,nuechtern,24
35,F13,nuechtern,28
35,F14,nuechtern,35
35,F15,nuechtern,16
35,F1,betrunken,61
35,F2,betrunken,37
35,F3,betrunken,38
35,F4,betrunken,46
35,F5,betrunken,64
35,F6,betrunken,58
35,F7,betrunken,48
35,F8,betrunken,57
35,F9,betrunken,61
35,F10,betrunken,43
35,F11,betrunken,52
35,F12,betrunken,44
35,F13,betrunken,53
35,F14,betrunken,72
35,F15,betrunken,51
36,F1,nuechtern,42
36,F2,nuechtern,37
36,F3,nuechtern,27
36,F4,nuechtern,31
36,F5,nuechtern,40
36,F6,nuechtern,44
36,F7,nuechtern,41
36,F8,nuechtern,36
36,F9,nuechtern,36
36,F10,nuechtern,34
36,F11,nuechtern,34
36,F12,nuechtern,44
36,F13,nuechtern,33
36,F14,nuechtern,49
36,F15,nuechtern,36
36,F1,betrunken,63
36,F2,betrunken,40
36,F3,betrunken,31
36,F4,betrunken,39
36,F5,betrunken,48
36,F6,betrunken,61
36,F7,betrunken,49
36,F8,betrunken,61
36,F9,betrunken,68
36,F10,betrunken,57
36,F11,betrunken,41
36,F12,betrunken,60
36,F13,betrunken,58
36,F14,betrunken,69
36,F15,betrunken,51
37,F1,nuechtern,31
37,F2,nuechtern,2
37,F3,nuechtern,23
37,F4,nuechtern,34
37,F5,nuechtern,39
37,F6,nuechtern,36
37,F7,nuechtern,38
37,F8,nuechtern,43
37,F9,nuechtern,35
37,F10,nuechtern,34
37,F11,nuechtern,20
37,F12,nuechtern,22
37,F13,nuechtern,25
37,F14,nuechtern,41
37,F15,nuechtern,20
37,F1,betrunken,53
37,F2,betrunken,52
37,F3,betrunken,27
37,F4,betrunken,43
37,F5,betrunken,64
37,F6,betrunken,52
37,F7,betrunken,58
37,F8,betrunken,58
37,F9,betrunken,50
37,F10,betrunken,31
37,F11,betrunken,49
37,F12,betrunken,51
37,F13,betrunken,68
37,F14,betrunken,69
37,F15,betrunken,40
38,F1,nuechtern,40
38,F2,nuechtern,33
38,F3,nuechtern,23
38,F4,nuechtern,26
38,F5,nuechtern,42
38,F6,nuechtern,46
38,F7,nuechtern,33
