X1,Date,Total Volume,Total Bags,Small Bags,Large Bags,XLarge Bags,type,region,SmallMediumAvocado,LargeAvocado,ExtraLargeAvocado
14,20.09.15,516432.6,86201.96,33698.43,52442.25,61.28,conventional,Atlanta,4046_346118.51,4225_82762.72,4770_1349.41
15,13.09.15,417232.18,75983.02,46290.32,29678.76,13.94,conventional,Atlanta,4046_278048.26,4225_62485.97,4770_714.93
16,06.09.15,472136.53,94436.19,49833.55,44549.67,52.97,conventional,Atlanta,4046_303113.24,4225_73675.85,4770_911.25
17,30.08.15,382972.72,61281.24,47138.07,14112.5,30.67,conventional,Atlanta,4046_275818.27,4225_44839.12,4770_1034.09
18,23.08.15,379054.29,57418.09,45534.11,11883.98,0,conventional,Atlanta,4046_274462.42,4225_46223.69,4770_950.09
19,16.08.15,465213.81,59216.9,45068.25,14148.65,0,conventional,Atlanta,4046_362579.51,4225_41992.44,4770_1424.96
20,09.08.15,503791.72,67472.2,45820.45,21568.48,83.27,conventional,Atlanta,4046_385027.71,4225_47040.07,4770_4251.74
21,02.08.15,405898.44,53888.32,42126.47,11720.3,41.55,conventional,Atlanta,4046_306587.86,4225_41906.78,4770_3515.48
22,26.07.15,437377.75,57210.66,45114.22,12096.44,0,conventional,Atlanta,4046_335372.02,4225_44087.07,4770_708
23,19.07.15,557212.99,61292.37,45099.87,16192.5,0,conventional,Atlanta,4046_446100.17,4225_47838.42,4770_1982.03
24,12.07.15,407204.88,58303.85,46023.59,12280.26,0,conventional,Atlanta,4046_310080.33,4225_37953.24,4770_867.46
25,05.07.15,562462.33,70560.49,50684.74,19851,24.75,conventional,Atlanta,4046_436377.91,4225_54675.38,4770_848.55
26,28.06.15,435210.71,65342.19,52099.76,13108.03,134.4,conventional,Atlanta,4046_331353.43,4225_37698.53,4770_816.56
27,21.06.15,554763.76,74542.11,55484.76,19010.81,46.54,conventional,Atlanta,4046_449311.47,4225_30231.78,4770_678.4
28,14.06.15,465804.78,61261.44,48612.13,12578.28,71.03,conventional,Atlanta,4046_386370.5,4225_17701.12,4770_471.72
29,07.06.15,551009.05,72290.28,50954.84,21329.99,5.45,conventional,Atlanta,4046_455565.92,4225_22414.17,4770_738.68
30,31.05.15,454702,51735.02,40505.16,11199.95,29.91,conventional,Atlanta,4046_382900.99,4225_19543.18,4770_522.81
31,24.05.15,623212.04,56539.87,33867,22651.15,21.72,conventional,Atlanta,4046_538126.94,4225_27284.43,4770_1260.8
32,17.05.15,451250.7,45392.29,33710.2,11682.09,0,conventional,Atlanta,4046_386400.89,4225_18618.84,4770_838.68
33,10.05.15,480071.18,46668.26,34108.44,12559.82,0,conventional,Atlanta,4046_413452.96,4225_18860.63,4770_1089.33
34,03.05.15,634213.1,66181.63,32520.82,33660.81,0,conventional,Atlanta,4046_538403.48,4225_28568.26,4770_1059.73
35,26.04.15,448596.76,41511.84,31315.29,10196.55,0,conventional,Atlanta,4046_387676.81,4225_18366.33,4770_1041.78
36,19.04.15,430966.34,43342.6,29661.72,13680.88,0,conventional,Atlanta,4046_368709.65,4225_18040.85,4770_873.24
37,12.04.15,451101.89,50884.32,25833.07,25051.25,0,conventional,Atlanta,4046_377578.48,4225_22419.95,4770_219.14
38,05.04.15,383139.49,45037.12,28612.48,16289.92,134.72,conventional,Atlanta,4046_318473.47,4225_19254.39,4770_374.51
39,29.03.15,365722.14,43780.25,29313.92,14466.33,0,conventional,Atlanta,4046_305028.89,4225_16651.99,4770_261.01
40,22.03.15,479590.62,62275.1,40495.12,21766.54,13.44,conventional,Atlanta,4046_393591.03,4225_23419.6,4770_304.89
41,15.03.15,399566.22,46575.23,34911.7,11625.94,37.59,conventional,Atlanta,4046_336172.08,4225_16508.21,4770_310.7
42,08.03.15,420826.32,43241.42,33847.33,9394.09,0,conventional,Atlanta,4046_361559.22,4225_15788.71,4770_236.97
43,01.03.15,512532.44,49456.96,32180.9,17273.38,2.68,conventional,Atlanta,4046_441544,4225_21183.7,4770_347.78
44,22.02.15,431308.56,43430.04,33423.74,10006.3,0,conventional,Atlanta,4046_369316.29,4225_18324.76,4770_237.47
45,15.02.15,427391.28,44885.92,26727.66,18158.26,0,conventional,Atlanta,4046_364446.77,4225_17420.41,4770_638.18
46,08.02.15,433883.91,38940.18,18044.41,20895.77,0,conventional,Atlanta,4046_377256.38,4225_17162.5,4770_524.85
47,01.02.15,636771.37,51694.49,10553.73,41140.76,0,conventional,Atlanta,4046_553198.56,4225_31583.38,4770_294.94
48,25.01.15,449332.85,36612.16,13176.39,23435.77,0,conventional,Atlanta,4046_393408.17,4225_18718.27,4770_594.25
49,18.01.15,431490.99,40040.48,16782.71,23257.77,0,conventional,Atlanta,4046_372236.92,4225_18701.9,4770_511.69
50,11.01.15,397542.72,47038.08,21309.61,25728.47,0,conventional,Atlanta,4046_330411.24,4225_18958.22,4770_1135.18
51,04.01.15,435021.49,46815.79,16707.15,30108.64,0,conventional,Atlanta,4046_364302.39,4225_23821.16,4770_82.15
0,27.12.15,596819.4,144911.1,142543.88,2367.22,0,conventional,BaltimoreWashington,4046_40450.49,4225_394104.02,4770_17353.79
1,20.12.15,642682.4,144238.07,141751.91,2486.16,0,conventional,BaltimoreWashington,4046_44741.37,4225_434590.82,4770_19112.14
2,13.12.15,619509.33,150966.28,149070.4,1895.88,0,conventional,BaltimoreWashington,4046_44400.26,4225_399851.59,4770_24291.2
3,06.12.15,649141.25,118664.97,117112.77,1552.2,0,conventional,BaltimoreWashington,4046_51129.29,4225_453586.5,4770_25760.49
4,29.11.15,545800.05,105468.28,103615.95,1852.33,0,conventional,BaltimoreWashington,4046_41028.15,4225_379156.09,4770_20147.53
5,22.11.15,572019.8,121670.73,119007.61,2663.12,0,conventional,BaltimoreWashington,4046_40867.8,4225_386137.78,4770_23343.49
6,15.11.15,718330.48,129760.36,125297.67,4462.69,0,conventional,BaltimoreWashington,4046_47109.75,4225_503470.08,4770_37990.29
7,08.11.15,830967.23,144840.21,138777.63,6062.58,0,conventional,BaltimoreWashington,4046_58579.27,4225_576512.71,4770_51035.04
8,01.11.15,742220.67,157925.7,152716.4,5209.3,0,conventional,BaltimoreWashington,4046_51860.07,4225_473819.14,4770_58615.76
9,25.10.15,656892.03,156128.69,149987.55,6141.14,0,conventional,BaltimoreWashington,4046_53766.25,4225_397911.35,4770_49085.74
10,18.10.15,1005603.78,151925.64,146421.02,5504.62,0,conventional,BaltimoreWashington,4046_59121.55,4225_745385.26,4770_49171.33
11,11.10.15,653560.14,168354.42,163669.01,4685.41,0,conventional,BaltimoreWashington,4046_34707.02,4225_392008.6,4770_58490.1
12,04.10.15,657444.04,172234.02,167494.61,4739.41,0,conventional,BaltimoreWashington,4046_35342.34,4225_407609.95,4770_42257.73
13,27.09.15,696281.81,151893.12,146792.81,5100.31,0,conventional,BaltimoreWashington,4046_34309.05,4225_451061.03,4770_59018.61
14,20.09.15,709268.62,174029.62,168889.78,5139.84,0,conventional,BaltimoreWashington,4046_39619.87,4225_450283.01,4770_45336.12
15,13.09.15,924993.61,151499.56,145686.02,5813.54,0,conventional,BaltimoreWashington,4046_55699.25,4225_675524.33,4770_42270.47
16,06.09.15,823623.36,168970.84,165696.58,3268.72,5.54,conventional,BaltimoreWashington,4046_63903.73,4225_522568.44,4770_68180.35
17,30.08.15,734721.29,185304.24,181968.79,3158.9,176.55,conventional,BaltimoreWashington,4046_48455.25,4225_458207.46,4770_42754.34
18,23.08.15,783935.36,178376.77,175047.15,3060.44,269.18,conventional,BaltimoreWashington,4046_59242.02,4225_499100.39,4770_47216.18
19,16.08.15,882754.72,155975.35,153156.63,2796.82,21.9,conventional,BaltimoreWashington,4046_86492.03,4225_597184.73,4770_43102.61
20,09.08.15,821523.45,164862.89,161564.81,3298.08,0,conventional,BaltimoreWashington,4046_56362.75,4225_557363.94,4770_42933.87
21,02.08.15,800603.23,166728.92,163667.68,3061.24,0,conventional,BaltimoreWashington,4046_53957.63,4225_535167.1,4770_44749.58
22,26.07.15,772926.12,178660.25,174774.8,3880.04,5.41,conventional,BaltimoreWashington,4046_52746.41,4225_496508.65,4770_45010.81
23,19.07.15,800194.34,200713.09,196837.6,3862.02,13.47,conventional,BaltimoreWashington,4046_52954.94,4225_496206.47,4770_50319.84
24,12.07.15,850931.58,193887.17,189236.32,4406.05,244.8,conventional,BaltimoreWashington,4046_58827.99,4225_547537.41,4770_50679.01
25,05.07.15,896298.77,206108.89,200097.99,5890.57,120.33,conventional,BaltimoreWashington,4046_66504.67,4225_567640.7,4770_56044.51
26,28.06.15,862261.64,211564.63,207378.09,4022.51,164.03,conventional,BaltimoreWashington,4046_65051.95,4225_534535.21,4770_51109.85
27,21.06.15,862840.73,224622.73,220904.35,3488.37,230.01,conventional,BaltimoreWashington,4046_58398.76,4225_527866.5,4770_51952.74
28,14.06.15,955046.82,249197.18,244982.26,3668.3,546.62,conventional,BaltimoreWashington,4046_64005.15,4225_593499.63,4770_48344.86
29,07.06.15,794310.29,225052.84,221165.85,3626.41,260.58,conventional,BaltimoreWashington,4046_62585.45,4225_462951.05,4770_43720.95
30,31.05.15,949177.06,217785.55,211787.29,5730.22,268.04,conventional,BaltimoreWashington,4046_67744.84,4225_617813.87,4770_45832.8
31,24.05.15,908661.83,234503.17,228842.95,5548.94,111.28,conventional,BaltimoreWashington,4046_63610.12,4225_560740.03,4770_49808.51
32,17.05.15,790853.86,227331.17,222163.1,5152.19,15.88,conventional,BaltimoreWashington,4046_63515.06,4225_455166.65,4770_44840.98
33,10.05.15,855205.82,224519.06,215572.03,8947.03,0,conventional,BaltimoreWashington,4046_79192.07,4225_507104.15,4770_44390.54
34,03.05.15,896972.05,209686.17,201874.28,7767.45,44.44,conventional,BaltimoreWashington,4046_73038.46,4225_536709.99,4770_77537.43
35,26.04.15,747841.09,218351.8,212064.73,6184.29,102.78,conventional,BaltimoreWashington,4046_58013.85,4225_431532.87,4770_39942.57
36,19.04.15,762862.62,225627.29,219885.88,5741.41,0,conventional,BaltimoreWashington,4046_67486.78,4225_427623.27,4770_42125.28
37,12.04.15,837629.62,201392.01,196076.34,5315.67,0,conventional,BaltimoreWashington,4046_70796.72,4225_523170.13,4770_42270.76
38,05.04.15,688065.45,191339.73,184109.06,6357.06,873.61,conventional,BaltimoreWashington,4046_53579.17,4225_401279.47,4770_41867.08
39,29.03.15,663677.32,163768.62,158964.08,4804.54,0,conventional,BaltimoreWashington,4046_58098.15,4225_398050.87,4770_43759.68
40,22.03.15,808897.21,176385.62,171699.95,4685.67,0,conventional,BaltimoreWashington,4046_65158.96,4225_524971.24,4770_42381.39
41,15.03.15,693698.13,197864.76,193130.9,4733.86,0,conventional,BaltimoreWashington,4046_53400.14,4225_395837.01,4770_46596.22
42,08.03.15,657745.9,192522.26,188374.49,4147.77,0,conventional,BaltimoreWashington,4046_55284.8,4225_367670.93,4770_42267.91
43,01.03.15,770115.24,171961.07,168224.2,3736.87,0,conventional,BaltimoreWashington,4046_59039.85,4225_498872.67,4770_40241.65
44,22.02.15,749845.79,190762.55,186976.97,3785.58,0,conventional,BaltimoreWashington,4046_50501.07,4225_445970.56,4770_62611.61
45,15.02.15,637319.34,179990.18,174864.87,5125.31,0,conventional,BaltimoreWashington,4046_49751.74,4225_361677.37,4770_45900.05
46,08.02.15,844931.21,180932.96,175771.39,5161.57,0,conventional,BaltimoreWashington,4046_71703.52,4225_554857.41,4770_37437.32
47,01.02.15,1007418.76,164589.36,159916.87,4672.49,0,conventional,BaltimoreWashington,4046_93166.54,4225_666010.38,4770_83652.48
48,25.01.15,692934.46,217350.64,209761.81,7588.83,0,conventional,BaltimoreWashington,4046_49696.14,4225_386398.73,4770_39488.95
49,18.01.15,657741.34,173858.5,169390.88,4467.62,0,conventional,BaltimoreWashington,4046_49947.16,4225_393359.6,4770_40576.08
50,11.01.15,670231.94,155406.52,151330.87,4075.65,0,conventional,BaltimoreWashington,4046_51460.64,4225_420837.82,4770_42526.96
51,04.01.15,788025.06,141136.68,137146.07,3990.61,0,conventional,BaltimoreWashington,4046_53987.31,4225_552906.04,4770_39995.03
0,27.12.15,62909.69,23561.1,23520.19,5.69,35.22,conventional,Boise,4046_30482.25,4225_2971.94,4770_5894.4
1,20.12.15,57504.05,21935.9,21900.35,11.43,24.12,conventional,Boise,4046_25628.22,4225_2546.09,4770_7393.84
2,13.12.15,58461.05,21868.27,21842.87,4.44,20.96,conventional,Boise,4046_27148.61,4225_2985.73,4770_6458.44
3,06.12.15,95295.34,43091.6,42734.53,0,357.07,conventional,Boise,4046_35590.98,4225_12526.5,4770_4086.26
4,29.11.15,49069.13,16057.99,15860.63,0,197.36,conventional,Boise,4046_24189.98,4225_2789.67,4770_6031.49
5,22.11.15,52875.58,17547.95,17530.67,4.32,12.96,conventional,Boise,4046_25408.86,4225_3255.97,4770_6662.8
6,15.11.15,68648.22,25635.41,25200.25,8.65,426.51,conventional,Boise,4046_24424.72,4225_12085.72,4770_6502.37
7,08.11.15,55847.79,12999.91,12777.83,119.79,102.29,conventional,Boise,4046_31910.27,4225_4651.88,4770_6285.73
8,01.11.15,53585.51,12362.73,12331.82,0,30.91,conventional,Boise,4046_30434.99,4225_4359.52,4770_6428.27
9,25.10.15,59874.45,13711.48,13660.98,0,50.5,conventional,Boise,4046_29521.58,4225_10089.82,4770_6551.57
10,18.10.15,54191.14,8921.26,8918,0,3.26,conventional,Boise,4046_29614.23,4225_9069.38,4770_6586.27
11,11.10.15,80904.19,13769.64,13543.47,185.46,40.71,conventional,Boise,4046_26114.19,4225_33415.88,4770_7604.48
12,04.10.15,59496.33,5968.42,5462.15,504.65,1.62,conventional,Boise,4046_35154.43,4225_10821.85,4770_7551.63
13,27.09.15,64187.8,7763.11,7596.64,160,6.47,conventional,Boise,4046_47007.35,4225_5754.04,4770_3663.3
14,20.09.15,73952.9,10893.8,10601.02,273.41,19.37,conventional,Boise,4046_34826.9,4225_21592.13,4770_6640.07
15,13.09.15,64208.84,7482.65,7482.65,0,0,conventional,Boise,4046_45738.83,4225_4393.9,4770_6593.46
16,06.09.15,64464.61,6936.04,6934.43,0,1.61,conventional,Boise,4046_44134.65,4225_5402.17,4770_7991.75
17,30.08.15,60099.83,5440.56,5440.56,0,0,conventional,Boise,4046_40926.77,4225_5809.92,4770_7922.58
18,23.08.15,70773.76,7420.09,7420.09,0,0,conventional,Boise,4046_44059.22,4225_14861.33,4770_4433.12
19,16.08.15,64001.61,6096.91,6090.51,0,6.4,conventional,Boise,4046_46189.28,4225_5258.21,4770_6457.21
20,09.08.15,61286.98,7582.25,7568.92,13.33,0,conventional,Boise,4046_44739.54,4225_5034,4770_3931.19
21,02.08.15,67763.91,6036.39,5987.5,48.89,0,conventional,Boise,4046_51151.27,4225_5140.89,4770_5435.36
22,26.07.15,67826.07,6511.85,6358.04,153.81,0,conventional,Boise,4046_50978.38,4225_4856.27,4770_5479.57
23,19.07.15,63958.04,7170.97,6354.45,816.52,0,conventional,Boise,4046_45921.6,4225_5300.3,4770_5565.17
24,12.07.15,74677.72,9571.92,8335.04,1236.88,0,conventional,Boise,4046_51828.75,4225_5802.65,4770_7474.4
25,05.07.15,85044.45,6637.61,6557.06,80.55,0,conventional,Boise,4046_61949.73,4225_8022.13,4770_8434.98
26,28.06.15,75280.41,5621.07,5619.44,0,1.63,conventional,Boise,4046_59111.33,4225_6573.26,4770_3974.75
27,21.06.15,81397.07,7286.27,7021.56,0,264.71,conventional,Boise,4046_52790.21,4225_15444.74,4770_5875.85
28,14.06.15,87607.71,7800.04,7800.04,0,0,conventional,Boise,4046_58791.25,4225_17880.43,4770_3135.99
29,07.06.15,80751.29,5612.56,5603.8,8.76,0,conventional,Boise,4046_61245.49,4225_7237.55,4770_6655.69
30,31.05.15,76689.38,7866.15,7860.31,5.84,0,conventional,Boise,4046_57373.57,4225_7421.36,4770_4028.3
31,24.05.15,83209.77,7507.26,7469.51,0,37.75,conventional,Boise,4046_54825.95,4225_14839.33,4770_6037.23
32,17.05.15,77987.53,6354.01,6345.82,0,8.19,conventional,Boise,4046_61319.66,4225_7393.99,4770_2919.87
33,10.05.15,95788.53,9495.53,9453.06,0,42.47,conventional,Boise,4046_62505.3,4225_15896.54,4770_7891.16
34,03.05.15,85466.99,6354.81,6349.93,0,4.88,conventional,Boise,4046_66880.12,4225_7942.34,4770_4289.72
35,26.04.15,88111.17,7179.45,7174.6,0,4.85,conventional,Boise,4046_69544.59,4225_7985.48,4770_3401.65
36,19.04.15,89694.96,7960.22,7953.8,0,6.42,conventional,Boise,4046_56843.62,4225_21630.9,4770_3260.22
37,12.04.15,66246.3,5747.78,5747.78,0,0,conventional,Boise,4046_44469.15,4225_8506.36,4770_7523.01
38,05.04.15,76704.46,6513.78,6510.61,0,3.17,conventional,Boise,4046_57339.81,4225_9060.49,4770_3790.38
39,29.03.15,74543.98,4789.54,4789.54,0,0,conventional,Boise,4046_59532.94,4225_7119.52,4770_3101.98
40,22.03.15,61419.11,3311.77,3311.77,0,0,conventional,Boise,4046_44227.33,4225_6589.77,4770_7290.24
41,15.03.15,65918.28,4445.9,4445.9,0,0,conventional,Boise,4046_51472.29,4225_7018.29,4770_2981.8
42,08.03.15,65350.24,4860.43,4860.43,0,0,conventional,Boise,4046_45879.84,4225_7206.22,4770_7403.75
43,01.03.15,75046.37,7237.98,6478.75,759.23,0,conventional,Boise,4046_40578,4225_23738.56,4770_3491.83
44,22.02.15,76836.1,7467.27,7235.2,232.07,0,conventional,Boise,4046_50872,4225_16374.74,4770_2122.09
45,15.02.15,61221.98,5340.86,3647.52,1693.34,0,conventional,Boise,4046_41547.87,4225_7840.31,4770_6492.94
46,08.02.15,69970.75,3047.17,1373.42,1673.75,0,conventional,Boise,4046_54229.34,4225_9647.24,4770_3047
47,01.02.15,113578.24,6644.84,4867.26,1777.58,0,conventional,Boise,4046_67496.3,4225_36532.33,4770_2904.77
48,25.01.15,66069.21,4530.04,2009.53,2520.51,0,conventional,Boise,4046_51922.06,4225_7555.95,4770_2061.16
49,18.01.15,62870.49,3915.94,1119.18,2796.76,0,conventional,Boise,4046_50354.95,4225_6342.37,4770_2257.23
50,11.01.15,57355.52,4923.75,3295.11,1628.64,0,conventional,Boise,4046_38112.34,4225_10997.54,4770_3321.89
51,04.01.15,80034.32,7755.62,6064.3,1691.32,0,conventional,Boise,4046_44562.12,4225_24964.23,4770_2752.35
0,27.12.15,450816.39,86012.86,85913.6,99.26,0,conventional,Boston,4046_3886.27,4225_346964.7,4770_13952.56
1,20.12.15,489802.88,88901.8,88768.47,133.33,0,conventional,Boston,4046_4912.37,4225_390100.99,4770_5887.72
2,13.12.15,549945.76,89722.96,89523.38,199.58,0,conventional,Boston,4046_4641.02,4225_455362.38,4770_219.4
3,06.12.15,488679.31,75889.78,75666.22,223.56,0,conventional,Boston,4046_5126.32,4225_407520.22,4770_142.99
4,29.11.15,350559.81,74125.62,73864.52,261.1,0,conventional,Boston,4046_3609.25,4225_272719.08,4770_105.86
5,22.11.15,466759.99,78648.17,78161.82,486.35,0,conventional,Boston,4046_4457.62,4225_383420.46,4770_233.74
6,15.11.15,513738.98,87352.15,85604.19,1747.96,0,conventional,Boston,4046_5310.32,4225_420936.8,4770_139.71
7,08.11.15,641759.57,93342.82,88265.25,5077.57,0,conventional,Boston,4046_5304.09,4225_542880.92,4770_231.74
8,01.11.15,553096.84,98507.92,93443.08,5064.84,0,conventional,Boston,4046_4886.14,4225_449532.49,4770_170.29
9,25.10.15,534249.47,99326.99,94581.94,4745.05,0,conventional,Boston,4046_4005.39,4225_430725.78,4770_191.31
10,18.10.15,725296.29,91049.58,86046.25,5003.33,0,conventional,Boston,4046_6409.86,4225_627503.98,4770_332.87
