,Date,AveragePrice,type,region
44,22.02.15,1.1,conventional,Atlanta
45,15.02.15,1.06,conventional,Atlanta
46,08.02.15,1.03,conventional,Atlanta
47,01.02.15,0.96,conventional,Atlanta
48,25.01.15,1.1,conventional,Atlanta
49,18.01.15,1.11,conventional,Atlanta
50,11.01.15,1.11,conventional,Atlanta
51,04.01.15,1,conventional,Atlanta
0,27.12.15,1.17,conventional,BaltimoreWashington
1,20.12.15,1.11,conventional,BaltimoreWashington
2,13.12.15,1.15,conventional,BaltimoreWashington
3,06.12.15,1.04,conventional,BaltimoreWashington
4,29.11.15,1.16,conventional,BaltimoreWashington
5,22.11.15,1.12,conventional,BaltimoreWashington
6,15.11.15,1.04,conventional,BaltimoreWashington
7,08.11.15,1.05,conventional,BaltimoreWashington
8,01.11.15,1.12,conventional,BaltimoreWashington
9,25.10.15,1.19,conventional,BaltimoreWashington
10,18.10.15,0.99,conventional,BaltimoreWashington
11,11.10.15,1.24,conventional,BaltimoreWashington
12,04.10.15,1.28,conventional,BaltimoreWashington
13,27.09.15,1.19,conventional,BaltimoreWashington
14,20.09.15,1.17,conventional,BaltimoreWashington
15,13.09.15,1.09,conventional,BaltimoreWashington
16,06.09.15,1.18,conventional,BaltimoreWashington
17,30.08.15,1.24,conventional,BaltimoreWashington
18,23.08.15,1.16,conventional,BaltimoreWashington
19,16.08.15,1.14,conventional,BaltimoreWashington
20,09.08.15,1.16,conventional,BaltimoreWashington
21,02.08.15,1.17,conventional,BaltimoreWashington
22,26.07.15,1.2,conventional,BaltimoreWashington
23,19.07.15,1.18,conventional,BaltimoreWashington
24,12.07.15,1.1,conventional,BaltimoreWashington
25,05.07.15,1.16,conventional,BaltimoreWashington
26,28.06.15,1.15,conventional,BaltimoreWashington
27,21.06.15,1.16,conventional,BaltimoreWashington
28,14.06.15,1.09,conventional,BaltimoreWashington
29,07.06.15,1.26,conventional,BaltimoreWashington
30,31.05.15,1.19,conventional,BaltimoreWashington
31,24.05.15,1.18,conventional,BaltimoreWashington
32,17.05.15,1.27,conventional,BaltimoreWashington
33,10.05.15,1.26,conventional,BaltimoreWashington
34,03.05.15,1.17,conventional,BaltimoreWashington
35,26.04.15,1.29,conventional,BaltimoreWashington
36,19.04.15,1.28,conventional,BaltimoreWashington
37,12.04.15,1.15,conventional,BaltimoreWashington
38,05.04.15,1.29,conventional,BaltimoreWashington
39,29.03.15,1.25,conventional,BaltimoreWashington
40,22.03.15,1.1,conventional,BaltimoreWashington
41,15.03.15,1.24,conventional,BaltimoreWashington
42,08.03.15,1.26,conventional,BaltimoreWashington
43,01.03.15,1.16,conventional,BaltimoreWashington
44,22.02.15,1.11,conventional,BaltimoreWashington
45,15.02.15,1.25,conventional,BaltimoreWashington
46,08.02.15,1.09,conventional,BaltimoreWashington
47,01.02.15,1.06,conventional,BaltimoreWashington
48,25.01.15,1.2,conventional,BaltimoreWashington
49,18.01.15,1.23,conventional,BaltimoreWashington
50,11.01.15,1.17,conventional,BaltimoreWashington
51,04.01.15,1.08,conventional,BaltimoreWashington
0,27.12.15,0.97,conventional,Boise
1,20.12.15,1.03,conventional,Boise
2,13.12.15,0.99,conventional,Boise
3,06.12.15,0.71,conventional,Boise
4,29.11.15,1.06,conventional,Boise
5,22.11.15,1.09,conventional,Boise
6,15.11.15,1.01,conventional,Boise
7,08.11.15,1.11,conventional,Boise
8,01.11.15,1.14,conventional,Boise
9,25.10.15,1.11,conventional,Boise
10,18.10.15,1.16,conventional,Boise
11,11.10.15,0.94,conventional,Boise
12,04.10.15,1.12,conventional,Boise
13,27.09.15,0.99,conventional,Boise
14,20.09.15,1.03,conventional,Boise
15,13.09.15,1.08,conventional,Boise
16,06.09.15,1.16,conventional,Boise
17,30.08.15,1.19,conventional,Boise
18,23.08.15,1.05,conventional,Boise
19,16.08.15,1.12,conventional,Boise
20,09.08.15,1.1,conventional,Boise
21,02.08.15,1.07,conventional,Boise
22,26.07.15,1.07,conventional,Boise
23,19.07.15,1.09,conventional,Boise
24,12.07.15,1.05,conventional,Boise
25,05.07.15,1.15,conventional,Boise
26,28.06.15,1.04,conventional,Boise
27,21.06.15,1.06,conventional,Boise
28,14.06.15,0.99,conventional,Boise
29,07.06.15,1.12,conventional,Boise
30,31.05.15,0.97,conventional,Boise
31,24.05.15,1.03,conventional,Boise
32,17.05.15,0.96,conventional,Boise
33,10.05.15,1.06,conventional,Boise
34,03.05.15,1,conventional,Boise
35,26.04.15,0.96,conventional,Boise
36,19.04.15,0.99,conventional,Boise
37,12.04.15,1.19,conventional,Boise
38,05.04.15,1.09,conventional,Boise
39,29.03.15,0.98,conventional,Boise
40,22.03.15,1.17,conventional,Boise
41,15.03.15,1,conventional,Boise
42,08.03.15,1.14,conventional,Boise
43,01.03.15,1.06,conventional,Boise
44,22.02.15,0.99,conventional,Boise
45,15.02.15,1.14,conventional,Boise
46,08.02.15,1.07,conventional,Boise
47,01.02.15,0.91,conventional,Boise
48,25.01.15,1.03,conventional,Boise
49,18.01.15,1.08,conventional,Boise
50,11.01.15,1.18,conventional,Boise
51,04.01.15,1.01,conventional,Boise
0,27.12.15,1.13,conventional,Boston
1,20.12.15,1.07,conventional,Boston
2,13.12.15,1.01,conventional,Boston
3,06.12.15,1.02,conventional,Boston
4,29.11.15,1.19,conventional,Boston
5,22.11.15,1.07,conventional,Boston
6,15.11.15,1.05,conventional,Boston
7,08.11.15,1.04,conventional,Boston
8,01.11.15,1.06,conventional,Boston
9,25.10.15,1.02,conventional,Boston
10,18.10.15,0.94,conventional,Boston
11,11.10.15,1.14,conventional,Boston
12,04.10.15,1.07,conventional,Boston
13,27.09.15,1.07,conventional,Boston
14,20.09.15,1.15,conventional,Boston
15,13.09.15,1.03,conventional,Boston
16,06.09.15,1.11,conventional,Boston
17,30.08.15,1.13,conventional,Boston
18,23.08.15,1.07,conventional,Boston
19,16.08.15,1.15,conventional,Boston
20,09.08.15,1.07,conventional,Boston
21,02.08.15,1.17,conventional,Boston
22,26.07.15,1.28,conventional,Boston
23,19.07.15,1.18,conventional,Boston
24,12.07.15,1.14,conventional,Boston
25,05.07.15,1.27,conventional,Boston
26,28.06.15,1.25,conventional,Boston
27,21.06.15,1.24,conventional,Boston
28,14.06.15,1.08,conventional,Boston
29,07.06.15,1.25,conventional,Boston
30,31.05.15,1.26,conventional,Boston
31,24.05.15,1.14,conventional,Boston
32,17.05.15,1.26,conventional,Boston
33,10.05.15,1.14,conventional,Boston
34,03.05.15,1.17,conventional,Boston
35,26.04.15,1.28,conventional,Boston
36,19.04.15,1.15,conventional,Boston
37,12.04.15,1.26,conventional,Boston
38,05.04.15,1.27,conventional,Boston
39,29.03.15,1.19,conventional,Boston
40,22.03.15,1.18,conventional,Boston
41,15.03.15,1.25,conventional,Boston
42,08.03.15,1.17,conventional,Boston
43,01.03.15,1.11,conventional,Boston
44,22.02.15,1.23,conventional,Boston
45,15.02.15,1.2,conventional,Boston
46,08.02.15,1.04,conventional,Boston
47,01.02.15,1.22,conventional,Boston
48,25.01.15,1.17,conventional,Boston
49,18.01.15,1.23,conventional,Boston
50,11.01.15,1.1,conventional,Boston
51,04.01.15,1.02,conventional,Boston
0,27.12.15,1.35,conventional,BuffaloRochester
1,20.12.15,1.37,conventional,BuffaloRochester
2,13.12.15,1.35,conventional,BuffaloRochester
3,06.12.15,1.23,conventional,BuffaloRochester
4,29.11.15,1.39,conventional,BuffaloRochester
5,22.11.15,1.4,conventional,BuffaloRochester
6,15.11.15,1.36,conventional,BuffaloRochester
7,08.11.15,1.3,conventional,BuffaloRochester
8,01.11.15,1.23,conventional,BuffaloRochester
9,25.10.15,1.36,conventional,BuffaloRochester
10,18.10.15,1.29,conventional,BuffaloRochester
11,11.10.15,1.3,conventional,BuffaloRochester
12,04.10.15,1.33,conventional,BuffaloRochester
13,27.09.15,1.31,conventional,BuffaloRochester
14,20.09.15,1.54,conventional,BuffaloRochester
15,13.09.15,1.59,conventional,BuffaloRochester
16,06.09.15,1.56,conventional,BuffaloRochester
17,30.08.15,1.38,conventional,BuffaloRochester
18,23.08.15,1.49,conventional,BuffaloRochester
19,16.08.15,1.5,conventional,BuffaloRochester
20,09.08.15,1.47,conventional,BuffaloRochester
21,02.08.15,1.47,conventional,BuffaloRochester
22,26.07.15,1.39,conventional,BuffaloRochester
23,19.07.15,1.36,conventional,BuffaloRochester
24,12.07.15,1.45,conventional,BuffaloRochester
25,05.07.15,1.47,conventional,BuffaloRochester
26,28.06.15,1.36,conventional,BuffaloRochester
27,21.06.15,1.5,conventional,BuffaloRochester
28,14.06.15,1.34,conventional,BuffaloRochester
29,07.06.15,1.38,conventional,BuffaloRochester
30,31.05.15,1.4,conventional,BuffaloRochester
31,24.05.15,1.43,conventional,BuffaloRochester
32,17.05.15,1.35,conventional,BuffaloRochester
33,10.05.15,1.33,conventional,BuffaloRochester
34,03.05.15,1.42,conventional,BuffaloRochester
35,26.04.15,1.41,conventional,BuffaloRochester
36,19.04.15,1.42,conventional,BuffaloRochester
37,12.04.15,1.42,conventional,BuffaloRochester
38,05.04.15,1.44,conventional,BuffaloRochester
39,29.03.15,1.39,conventional,BuffaloRochester
40,22.03.15,1.4,conventional,BuffaloRochester
41,15.03.15,1.47,conventional,BuffaloRochester
42,08.03.15,1.35,conventional,BuffaloRochester
43,01.03.15,1.43,conventional,BuffaloRochester
44,22.02.15,1.41,conventional,BuffaloRochester
45,15.02.15,1.44,conventional,BuffaloRochester
46,08.02.15,1.36,conventional,BuffaloRochester
47,01.02.15,1.33,conventional,BuffaloRochester
48,25.01.15,1.5,conventional,BuffaloRochester
49,18.01.15,1.52,conventional,BuffaloRochester
50,11.01.15,1.54,conventional,BuffaloRochester
51,04.01.15,1.4,conventional,BuffaloRochester
0,27.12.15,0.9,conventional,California
1,20.12.15,0.94,conventional,California
2,13.12.15,0.87,conventional,California
3,06.12.15,0.78,conventional,California
4,29.11.15,0.91,conventional,California
5,22.11.15,0.92,conventional,California
6,15.11.15,0.83,conventional,California
7,08.11.15,0.98,conventional,California
8,01.11.15,0.95,conventional,California
9,25.10.15,1.12,conventional,California
10,18.10.15,1.07,conventional,California
11,11.10.15,1.08,conventional,California
12,04.10.15,1.02,conventional,California
13,27.09.15,1.04,conventional,California
14,20.09.15,1.14,conventional,California
15,13.09.15,1.13,conventional,California
16,06.09.15,1.09,conventional,California
17,30.08.15,1.08,conventional,California
18,23.08.15,1.18,conventional,California
19,16.08.15,1.11,conventional,California
20,09.08.15,1.1,conventional,California
21,02.08.15,1.16,conventional,California
22,26.07.15,1.13,conventional,California
23,19.07.15,1.18,conventional,California
24,12.07.15,1.13,conventional,California
25,05.07.15,1.12,conventional,California
26,28.06.15,1.1,conventional,California
27,21.06.15,1.07,conventional,California
28,14.06.15,0.97,conventional,California
29,07.06.15,0.98,conventional,California
30,31.05.15,0.98,conventional,California
31,24.05.15,1.1,conventional,California
32,17.05.15,1.08,conventional,California
33,10.05.15,0.93,conventional,California
34,03.05.15,0.88,conventional,California
35,26.04.15,1.15,conventional,California
36,19.04.15,1.05,conventional,California
37,12.04.15,1.06,conventional,California
38,05.04.15,1.12,conventional,California
39,29.03.15,1.1,conventional,California
40,22.03.15,1.06,conventional,California
41,15.03.15,1.06,conventional,California
42,08.03.15,0.96,conventional,California
43,01.03.15,0.84,conventional,California
44,22.02.15,0.96,conventional,California
45,15.02.15,0.96,conventional,California
46,08.02.15,0.91,conventional,California
47,01.02.15,0.85,conventional,California
48,25.01.15,1.06,conventional,California
49,18.01.15,1.02,conventional,California
50,11.01.15,0.92,conventional,California
51,04.01.15,0.93,conventional,California
0,27.12.15,0.96,conventional,Charlotte
1,20.12.15,0.98,conventional,Charlotte
2,13.12.15,0.95,conventional,Charlotte
3,06.12.15,0.99,conventional,Charlotte
4,29.11.15,0.95,conventional,Charlotte
5,22.11.15,1,conventional,Charlotte
6,15.11.15,1.01,conventional,Charlotte
7,08.11.15,1.03,conventional,Charlotte
8,01.11.15,1.11,conventional,Charlotte
9,25.10.15,1.27,conventional,Charlotte
10,18.10.15,1.26,conventional,Charlotte
11,11.10.15,1.14,conventional,Charlotte
12,04.10.15,1.22,conventional,Charlotte
13,27.09.15,1.09,conventional,Charlotte
14,20.09.15,1.2,conventional,Charlotte
15,13.09.15,1.19,conventional,Charlotte
16,06.09.15,1.01,conventional,Charlotte
17,30.08.15,1.2,conventional,Charlotte
18,23.08.15,1.15,conventional,Charlotte
19,16.08.15,1.24,conventional,Charlotte
20,09.08.15,1.21,conventional,Charlotte
21,02.08.15,1.24,conventional,Charlotte
22,26.07.15,1.23,conventional,Charlotte
23,19.07.15,1.19,conventional,Charlotte
24,12.07.15,1.18,conventional,Charlotte
25,05.07.15,1.18,conventional,Charlotte
26,28.06.15,1.17,conventional,Charlotte
27,21.06.15,1.17,conventional,Charlotte
28,14.06.15,1.15,conventional,Charlotte
29,07.06.15,1.15,conventional,Charlotte
30,31.05.15,1.19,conventional,Charlotte
31,24.05.15,1.2,conventional,Charlotte
32,17.05.15,1.21,conventional,Charlotte
33,10.05.15,1.19,conventional,Charlotte
34,03.05.15,1,conventional,Charlotte
35,26.04.15,1.2,conventional,Charlotte
36,19.04.15,1.18,conventional,Charlotte
37,12.04.15,1.17,conventional,Charlotte
38,05.04.15,1.19,conventional,Charlotte
39,29.03.15,1.23,conventional,Charlotte
40,22.03.15,1.19,conventional,Charlotte
41,15.03.15,1.19,conventional,Charlotte
42,08.03.15,1.25,conventional,Charlotte
43,01.03.15,1.18,conventional,Charlotte
44,22.02.15,1.08,conventional,Charlotte
45,15.02.15,1.22,conventional,Charlotte
46,08.02.15,1.17,conventional,Charlotte
47,01.02.15,0.98,conventional,Charlotte
48,25.01.15,1.18,conventional,Charlotte
49,18.01.15,1.25,conventional,Charlotte
50,11.01.15,1.26,conventional,Charlotte
51,04.01.15,1.19,conventional,Charlotte
0,27.12.15,0.93,conventional,Chicago
1,20.12.15,0.91,conventional,Chicago
2,13.12.15,1.07,conventional,Chicago
3,06.12.15,1.14,conventional,Chicago
4,29.11.15,1.11,conventional,Chicago
5,22.11.15,0.94,conventional,Chicago
6,15.11.15,1.17,conventional,Chicago
7,08.11.15,1.01,conventional,Chicago
8,01.11.15,1,conventional,Chicago
9,25.10.15,1.12,conventional,Chicago
10,18.10.15,1.15,conventional,Chicago
11,11.10.15,1.08,conventional,Chicago
12,04.10.15,1.18,conventional,Chicago
13,27.09.15,1.15,conventional,Chicago
14,20.09.15,1.19,conventional,Chicago
15,13.09.15,1.19,conventional,Chicago
16,06.09.15,1.11,conventional,Chicago
17,30.08.15,1.12,conventional,Chicago
18,23.08.15,1.2,conventional,Chicago
19,16.08.15,1.16,conventional,Chicago
20,09.08.15,1.25,conventional,Chicago
21,02.08.15,1.27,conventional,Chicago
22,26.07.15,1.12,conventional,Chicago
23,19.07.15,1.24,conventional,Chicago
24,12.07.15,1.26,conventional,Chicago
25,05.07.15,1.24,conventional,Chicago
26,28.06.15,1.21,conventional,Chicago
27,21.06.15,1.24,conventional,Chicago
28,14.06.15,1.21,conventional,Chicago
29,07.06.15,1.24,conventional,Chicago
30,31.05.15,1.26,conventional,Chicago
31,24.05.15,1.23,conventional,Chicago
32,17.05.15,1.23,conventional,Chicago
33,10.05.15,1.23,conventional,Chicago
34,03.05.15,1.04,conventional,Chicago
35,26.04.15,1.24,conventional,Chicago
36,19.04.15,1.24,conventional,Chicago
37,12.04.15,1.24,conventional,Chicago
38,05.04.15,1.27,conventional,Chicago
39,29.03.15,1.22,conventional,Chicago
40,22.03.15,1.21,conventional,Chicago
41,15.03.15,1.09,conventional,Chicago
42,08.03.15,1.18,conventional,Chicago
43,01.03.15,1.09,conventional,Chicago
44,22.02.15,1.18,conventional,Chicago
45,15.02.15,1.17,conventional,Chicago
46,08.02.15,1.13,conventional,Chicago
47,01.02.15,0.91,conventional,Chicago
48,25.01.15,1.22,conventional,Chicago
49,18.01.15,1.14,conventional,Chicago
50,11.01.15,1.15,conventional,Chicago
51,04.01.15,1.11,conventional,Chicago
0,27.12.15,0.87,conventional,CincinnatiDayton
1,20.12.15,0.85,conventional,CincinnatiDayton
2,13.12.15,0.79,conventional,CincinnatiDayton
3,06.12.15,0.83,conventional,CincinnatiDayton
4,29.11.15,0.88,conventional,CincinnatiDayton
5,22.11.15,0.89,conventional,CincinnatiDayton
6,15.11.15,0.88,conventional,CincinnatiDayton
7,08.11.15,0.87,conventional,CincinnatiDayton
8,01.11.15,0.93,conventional,CincinnatiDayton
9,25.10.15,1.01,conventional,CincinnatiDayton
10,18.10.15,0.98,conventional,CincinnatiDayton
11,11.10.15,0.91,conventional,CincinnatiDayton
12,04.10.15,0.93,conventional,CincinnatiDayton
13,27.09.15,1.08,conventional,CincinnatiDayton
14,20.09.15,1.05,conventional,CincinnatiDayton
15,13.09.15,1.05,conventional,CincinnatiDayton
16,06.09.15,1.02,conventional,CincinnatiDayton
17,30.08.15,1.01,conventional,CincinnatiDayton
18,23.08.15,1.05,conventional,CincinnatiDayton
19,16.08.15,1.01,conventional,CincinnatiDayton
20,09.08.15,1.08,conventional,CincinnatiDayton
21,02.08.15,1.09,conventional,CincinnatiDayton
22,26.07.15,1.03,conventional,CincinnatiDayton
23,19.07.15,1.06,conventional,CincinnatiDayton
24,12.07.15,1.03,conventional,CincinnatiDayton
25,05.07.15,1.03,conventional,CincinnatiDayton
26,28.06.15,1.01,conventional,CincinnatiDayton
27,21.06.15,1.02,conventional,CincinnatiDayton
28,14.06.15,1.05,conventional,CincinnatiDayton
29,07.06.15,1.07,conventional,CincinnatiDayton
30,31.05.15,1.06,conventional,CincinnatiDayton
31,24.05.15,1.1,conventional,CincinnatiDayton
32,17.05.15,1.04,conventional,CincinnatiDayton
33,10.05.15,1.06,conventional,CincinnatiDayton
34,03.05.15,1.08,conventional,CincinnatiDayton
35,26.04.15,1.06,conventional,CincinnatiDayton
36,19.04.15,1.02,conventional,CincinnatiDayton
37,12.04.15,1.02,conventional,CincinnatiDayton
38,05.04.15,1.06,conventional,CincinnatiDayton
39,29.03.15,0.95,conventional,CincinnatiDayton
40,22.03.15,0.98,conventional,CincinnatiDayton
41,15.03.15,0.94,conventional,CincinnatiDayton
42,08.03.15,0.87,conventional,CincinnatiDayton
43,01.03.15,0.89,conventional,CincinnatiDayton
44,22.02.15,0.93,conventional,CincinnatiDayton
45,15.02.15,0.94,conventional,CincinnatiDayton
46,08.02.15,0.93,conventional,CincinnatiDayton
47,01.02.15,0.86,conventional,CincinnatiDayton
48,25.01.15,0.93,conventional,CincinnatiDayton
49,18.01.15,0.93,conventional,CincinnatiDayton
50,11.01.15,0.92,conventional,CincinnatiDayton
51,04.01.15,0.88,conventional,CincinnatiDayton
0,27.12.15,0.99,conventional,Columbus
1,20.12.15,1.03,conventional,Columbus
2,13.12.15,1.03,conventional,Columbus
3,06.12.15,0.99,conventional,Columbus
4,29.11.15,1.03,conventional,Columbus
5,22.11.15,1.04,conventional,Columbus
6,15.11.15,0.99,conventional,Columbus
7,08.11.15,0.95,conventional,Columbus
8,01.11.15,0.99,conventional,Columbus
9,25.10.15,1.04,conventional,Columbus
10,18.10.15,0.98,conventional,Columbus
11,11.10.15,0.9,conventional,Columbus
12,04.10.15,0.93,conventional,Columbus
13,27.09.15,1.02,conventional,Columbus
14,20.09.15,1,conventional,Columbus
15,13.09.15,1.02,conventional,Columbus
16,06.09.15,1.04,conventional,Columbus
17,30.08.15,1.03,conventional,Columbus
18,23.08.15,1.08,conventional,Columbus
19,16.08.15,1.03,conventional,Columbus
20,09.08.15,1,conventional,Columbus
21,02.08.15,1.05,conventional,Columbus
22,26.07.15,1.02,conventional,Columbus
23,19.07.15,1.05,conventional,Columbus
24,12.07.15,1.04,conventional,Columbus
25,05.07.15,0.98,conventional,Columbus
26,28.06.15,0.94,conventional,Columbus
27,21.06.15,0.99,conventional,Columbus
28,14.06.15,1.01,conventional,Columbus
29,07.06.15,1.03,conventional,Columbus
30,31.05.15,1.1,conventional,Columbus
31,24.05.15,1.01,conventional,Columbus
32,17.05.15,1,conventional,Columbus
33,10.05.15,1.1,conventional,Columbus
34,03.05.15,0.99,conventional,Columbus
35,26.04.15,1.02,conventional,Columbus
36,19.04.15,1,conventional,Columbus
37,12.04.15,1.07,conventional,Columbus
38,05.04.15,1.09,conventional,Columbus
39,29.03.15,0.96,conventional,Columbus
40,22.03.15,0.94,conventional,Columbus
41,15.03.15,1.01,conventional,Columbus
42,08.03.15,0.95,conventional,Columbus
43,01.03.15,1.03,conventional,Columbus
44,22.02.15,1.09,conventional,Columbus
45,15.02.15,1.05,conventional,Columbus
46,08.02.15,0.96,conventional,Columbus
47,01.02.15,0.87,conventional,Columbus
48,25.01.15,1.08,conventional,Columbus
49,18.01.15,1.02,conventional,Columbus
50,11.01.15,0.97,conventional,Columbus
51,04.01.15,0.89,conventional,Columbus
0,27.12.15,0.8,conventional,DallasFtWorth
1,20.12.15,0.82,conventional,DallasFtWorth
2,13.12.15,0.79,conventional,DallasFtWorth
3,06.12.15,0.74,conventional,DallasFtWorth
4,29.11.15,0.8,conventional,DallasFtWorth
5,22.11.15,0.78,conventional,DallasFtWorth
6,15.11.15,0.71,conventional,DallasFtWorth
7,08.11.15,0.8,conventional,DallasFtWorth
8,01.11.15,0.78,conventional,DallasFtWorth
9,25.10.15,0.86,conventional,DallasFtWorth
10,18.10.15,0.83,conventional,DallasFtWorth
11,11.10.15,0.81,conventional,DallasFtWorth
12,04.10.15,0.82,conventional,DallasFtWorth
13,27.09.15,0.84,conventional,DallasFtWorth
14,20.09.15,0.77,conventional,DallasFtWorth
15,13.09.15,0.86,conventional,DallasFtWorth
16,06.09.15,0.84,conventional,DallasFtWorth
17,30.08.15,0.82,conventional,DallasFtWorth
18,23.08.15,0.85,conventional,DallasFtWorth
19,16.08.15,0.88,conventional,DallasFtWorth
20,09.08.15,0.85,conventional,DallasFtWorth
21,02.08.15,0.87,conventional,DallasFtWorth
22,26.07.15,0.8,conventional,DallasFtWorth
23,19.07.15,0.82,conventional,DallasFtWorth
24,12.07.15,0.82,conventional,DallasFtWorth
25,05.07.15,0.83,conventional,DallasFtWorth
26,28.06.15,0.77,conventional,DallasFtWorth
27,21.06.15,0.75,conventional,DallasFtWorth
28,14.06.15,0.65,conventional,DallasFtWorth
29,07.06.15,0.73,conventional,DallasFtWorth
30,31.05.15,0.68,conventional,DallasFtWorth
31,24.05.15,0.81,conventional,DallasFtWorth
32,17.05.15,0.73,conventional,DallasFtWorth
33,10.05.15,0.75,conventional,DallasFtWorth
34,03.05.15,0.77,conventional,DallasFtWorth
35,26.04.15,0.81,conventional,DallasFtWorth
36,19.04.15,0.8,conventional,DallasFtWorth
37,12.04.15,0.72,conventional,DallasFtWorth
38,05.04.15,0.77,conventional,DallasFtWorth
39,29.03.15,0.79,conventional,DallasFtWorth
40,22.03.15,0.67,conventional,DallasFtWorth
41,15.03.15,0.72,conventional,DallasFtWorth
42,08.03.15,0.75,conventional,DallasFtWorth
43,01.03.15,0.82,conventional,DallasFtWorth
44,22.02.15,0.8,conventional,DallasFtWorth
45,15.02.15,0.77,conventional,DallasFtWorth
46,08.02.15,0.67,conventional,DallasFtWorth
47,01.02.15,0.68,conventional,DallasFtWorth
48,25.01.15,0.8,conventional,DallasFtWorth
49,18.01.15,0.76,conventional,DallasFtWorth
50,11.01.15,0.76,conventional,DallasFtWorth
51,04.01.15,0.74,conventional,DallasFtWorth
0,27.12.15,0.98,conventional,Denver
1,20.12.15,1.05,conventional,Denver
2,13.12.15,0.83,conventional,Denver
3,06.12.15,0.76,conventional,Denver
4,29.11.15,1.12,conventional,Denver
5,22.11.15,0.85,conventional,Denver
6,15.11.15,0.82,conventional,Denver
7,08.11.15,0.93,conventional,Denver
